,Name,Zone,Bedrooms,Bathrooms,Price_pw,Link
0,"Hanover Terrace, Regent's Park, NW1","Regent's Park,",6 ,6 ,"17,500",www.foxtons.co.uk/properties-to-rent/nw1/chpk1034228
1,"Frognal, Hampstead, NW3","Hampstead,",10 ,7 ,"15,000",www.foxtons.co.uk/properties-to-rent/nw3/chpk4084835
2,"Herbert Crescent, Knightsbridge, SW1X","Knightsbridge,",7 ,7 ,"12,500",www.foxtons.co.uk/properties-to-rent/sw1x/chpk1682152
3,"Rutland Gate, Knightsbridge, SW7","Knightsbridge,",5 ,3 ,"12,000",www.foxtons.co.uk/properties-to-rent/sw7/chpk3835292
4,"Adams Row, Mayfair, W1K","Mayfair,",4 ,5 ,"10,000",www.foxtons.co.uk/properties-to-rent/w1k/chpk3422671
5,"The Bishops Avenue, Hampstead Garden Suburb, N2","Hampstead Garden Suburb,",9 ,10 ,"9,000",www.foxtons.co.uk/properties-to-rent/n2/chpk2684144
6,"Holborn Close, Mill Hill, NW7","Mill Hill,",4 ,5 ,"9,000",www.foxtons.co.uk/properties-to-rent/nw7/chpk4621574
7,"Frognal, Hampstead, NW3","Hampstead,",7 ,5 ,"9,000",www.foxtons.co.uk/properties-to-rent/nw3/chpk0946593
8,"The Bishops Avenue, Hampstead, N2","Hampstead,",8 ,8 ,"8,653",www.foxtons.co.uk/properties-to-rent/n2/chpk2684163
9,"Cheval Place, Knightsbridge, SW7","Knightsbridge,",4 ,3 ,"8,500",www.foxtons.co.uk/properties-to-rent/sw7/kncl0046035
10,"Hyde Park Gate, Kensington, SW7","Kensington,",3 ,3 ,"8,500",www.foxtons.co.uk/properties-to-rent/sw7/chpk2498727
11,"Upper Brook Street, Mayfair, W1K","Mayfair,",7 ,7 ,"6,500",www.foxtons.co.uk/properties-to-rent/w1k/chpk0143419
12,"Lowndes Square, Knightsbridge, SW1X","Knightsbridge,",3 ,3 ,"6,000",www.foxtons.co.uk/properties-to-rent/sw1x/chpk1187121
13,"Hyde Park Gate, Kensington, SW7","Kensington,",2 ,2 ,"6,000",www.foxtons.co.uk/properties-to-rent/sw7/chpk0143034
